id,tipo_placa,placa,tipo_contrato,carroceria_id,autobusero_id,activo,observaciones
57,CB,2650,2,13,631,1,
58,SJB,12666,2,29,656,1,
59,SJB,13135,2,13,656,1,
60,SJB,11568,0,12,656,1,
61,SJB,11569,2,12,656,1,
62,SJB,14438,2,53,656,1,
63,PUBLI,5119,0,13,649,1,
64,PUBLI,5358,0,33,649,1,
65,PUBLI,5364,0,33,649,1,
66,PUBLI,5061,0,13,649,1,
67,PUBLI,4700,0,56,649,1,
68,PUBLI,4697,0,56,649,1,
69,PUBLI,4701,0,56,649,1,
70,PUBLI,5062,0,13,649,1,
71,PUBLI,2968,0,50,649,1,
72,PUBLI,2967,0,50,649,1,
73,PUBLI,2822,0,48,649,1,
74,PUBLI,2330,0,48,649,1,
75,PUBLI,2284,0,35,649,1,
76,PUBLI,5063,2,13,649,1,
77,HB,3338,0,36,649,1,
78,PUBLI,3143,0,50,649,1,
79,PUBLI,4951,0,13,649,1,
80,PUBLI,5339,0,13,649,1,
81,PUBLI,5734,0,13,649,1,
82,PUBLI,5340,0,13,649,1,
83,PUBLI,5733,0,13,649,1,
84,PUBLI,2958,0,35,649,1,
85,PUBLI,902,0,48,649,1,
86,PUBLI,6239,0,13,649,1,
87,GB,2086,1,51,657,1,
88,SJB,11254,2,12,639,1,
89,SJB,10775,0,12,639,1,
90,SJB,11256,0,12,639,1,
91,SJB,11592,1,12,639,1,
92,SJB,14002,2,40,639,1,
93,SJB,13317,2,33,639,1,
94,PUBLI,12854,2,23,639,1,
95,SJB,9868,1,32,639,1,
96,PUBLI,12282,0,13,639,1,
97,SJB,12293,1,52,639,1,
98,PUBLI,13368,2,33,639,1,
99,SJB,13075,2,33,639,1,
100,SJB,10402,2,32,639,1,
101,SJB,10968,1,20,639,1,
102,SJB,12238,2,23,639,1,
103,SJB,11354,0,20,639,1,
104,SJB,12201,2,23,639,1,
105,SJB,12855,0,23,639,1,
106,SJB,11898,1,23,639,1,
107,SJB,9890,1,32,639,1,
108,PUBLI,11579,1,12,639,1,
109,PUBLI,8220,2,27,638,1,
110,SJB,10509,1,20,639,1,
111,SJB,12655,1,13,639,1,
112,SJB,13943,1,13,639,1,
113,SJB,12651,2,40,639,1,
114,SJB,11030,2,12,639,1,
115,SJB,13019,1,40,639,1,
116,SJB,13485,1,40,639,1,
117,AB,3034,0,3,619,1,
118,LB,1640,2,27,648,1,
119,SJB,8767,0,7,648,1,
120,PUBLI,1688,1,45,648,1,
121,PUBLI,2404,0,74,655,1,
122,PUBLI,2163,0,2,648,1,
123,PUBLI,5304,0,54,648,1,
124,PUBLI,10692,0,7,648,1,
125,PUBLI,5322,0,54,648,1,
126,PUBLI,1695,0,45,648,1,
127,CB,1606,2,28,648,1,
128,CB,2065,1,7,655,0,
129,SJB,11983,0,20,626,1,
130,SJB,11660,2,12,633,1,
131,SJB,11706,1,12,633,1,
132,SJB,11659,0,12,633,1,
133,SJB,10989,0,20,639,1,
134,SJB,12446,0,33,639,1,
135,SJB,14134,2,13,639,1,
136,SJB,13933,1,23,639,1,
137,PUBLI,1734,0,11,636,1,
138,AB,5199,2,33,660,1,
139,AB,5198,0,33,660,1,
140,SJB,14532,0,13,639,1,
141,SJB,12123,0,40,641,1,
142,SJB,13376,0,13,639,1,
143,SJB,14414,2,13,639,1,
144,PUBLI,12122,1,40,641,1,
145,PUBLI,4127,0,4,654,1,
146,PUBLI,4630,2,36,654,1,
147,SJB,14293,0,13,639,1,
148,SJB,11029,2,12,639,1,
149,CB,2739,1,71,655,0,
150,CB,2406,1,74,655,1,
151,AB,4717,1,36,654,1,
152,SJB,11759,2,23,633,1,
153,SJB,11765,0,23,633,1,
154,CB,2277,1,40,642,1,
155,CB,2377,1,52,642,1,
156,AB,4970,1,33,660,1,
157,SJB,10491,1,12,627,1,
158,SJB,10740,0,63,633,1,
159,SJB,10741,0,63,633,1,
160,SJB,10742,0,63,633,1,
161,SJB,11600,0,23,633,1,
162,SJB,11601,1,23,633,1,
163,SJB,11753,0,23,633,1,
164,SJB,11756,0,23,633,1,
165,SJB,12412,0,23,633,1,
166,SJB,12569,1,23,633,1,
167,PUBLI,6280,0,48,649,1,
168,PUBLI,5811,0,48,649,1,
169,AB,3836,0,3,619,1,
170,SJB,11694,0,9,647,1,
171,SJB,12105,2,13,647,1,
172,PUBLI,12863,0,13,647,1,
173,SJB,14521,0,29,647,1,
174,SJB,14522,2,29,647,1,
175,SJB,14523,2,40,647,1,
176,SJB,14525,2,33,647,1,
177,SJB,14526,0,33,647,1,
178,AB,4578,1,33,660,1,
179,AB,5586,1,13,660,1,
180,CB,2140,1,9,642,1,
181,CB,2141,1,9,642,1,
182,SJB,12930,1,23,644,1,
183,SJB,12929,1,23,644,1,
184,SJB,13048,1,23,644,1,
185,SJB,12247,0,23,618,1,
186,SJB,14336,2,25,637,1,
187,SJB,13866,1,40,627,1,
188,SJB,13867,1,40,627,1,
189,SJB,10450,0,12,627,1,
190,SJB,13862,1,40,627,1,
191,SJB,13863,2,40,627,1,
192,SJB,10451,2,12,627,1,
193,SJB,13864,0,40,627,1,
194,SJB,13868,1,40,627,1,
195,SJB,13865,1,40,627,1,
196,SJB,11669,2,33,627,1,
197,SJB,14843,2,23,626,1,
198,SJB,14842,2,20,626,0,Bus devuelto perif̩rica asignado a la competencia.
199,PUBLI,2105,0,51,655,1,
200,AB,3344,0,37,660,1,
201,SJB,14518,0,33,627,1,
202,LB,2000,2,33,651,1,
203,LB,1992,0,33,651,1,
204,PUBLI,1641,0,27,648,1,
205,SJB,14416,2,13,639,1,
206,PUBLI,1272,1,1,651,1,
207,HB,3580,0,65,663,1,
208,PUBLI,8771,0,37,656,1,
209,LB,1390,2,12,651,1,
210,PUBLI,6504,0,33,651,1,
211,CB,2783,0,21,629,1,
212,CB,2784,2,21,629,1,
213,PUBLI,1419,2,12,651,1,
214,LB,1996,0,33,651,1,
215,SJB,9788,2,32,656,1,
216,PUBLI,3594,0,33,660,1,
217,CB,2675,0,13,642,1,
218,CB,2676,0,13,642,1,
219,CB,2678,2,13,642,1,
220,SJB,14264,0,13,656,1,
221,PUBLI,12138,2,33,656,1,
222,LB,1995,2,13,651,0,
223,LB,1954,0,25,651,1,
224,PUBLI,2003,0,33,651,1,
225,PUBLI,1079,1,33,651,1,
226,LB,2007,0,33,651,1,
227,LB,1788,0,13,651,1,
228,PUBLI,1506,2,67,651,1,
229,LB,2002,2,33,651,1,
230,AB,6290,1,25,623,1,
231,PUBLI,6291,1,25,623,1,
232,AB,6292,1,25,623,1,
233,AB,6293,1,25,623,1,
234,AB,6294,1,25,623,1,
235,AB,6295,1,25,623,1,
236,AB,6296,1,25,623,1,
237,AB,6298,1,25,623,1,
238,AB,6301,2,25,623,1,
239,AB,6302,1,25,623,1,
240,AB,6313,1,25,623,1,
241,AB,6314,1,25,623,1,
242,AB,6316,1,25,623,1,
243,PUBLI,1505,1,67,651,1,
244,SJB,15151,1,68,641,1,
245,SJB,15152,1,69,641,1,
246,SJB,15154,1,68,641,1,
247,SJB,15150,1,69,641,1,
248,AB,6319,0,25,623,1,
249,SJB,15149,0,68,641,1,
250,PUBLI,6498,0,13,635,1,
251,PUBLI,6682,2,12,635,0,
252,AB,5672,1,13,660,1,
253,SJB,14154,1,21,637,1,
254,SJB,14155,1,21,637,1,
255,LB,1993,2,33,651,1,
256,AB,4891,1,35,662,1,
257,SJB,13143,1,70,617,0,se cambio bus porque tenia publicidad de imc
258,SJB,14332,1,13,617,1,
259,SJB,14330,1,13,617,1,
260,SJB,14836,1,60,617,1,
261,SJB,14848,1,60,617,1,
262,SJB,14834,1,60,617,1,
263,SJB,12846,1,13,617,1,
264,SJB,10369,2,9,617,1,
265,SJB,16310,2,9,617,0,
266,LB,1998,0,33,651,1,
267,AB,6503,0,33,651,1,
268,SJB,11143,1,12,617,1,
269,SJB,11142,1,12,617,1,
270,SJB,11151,1,12,617,1,
271,SJB,10897,1,12,617,1,
272,SJB,11148,1,12,617,1,
273,SJB,10389,1,12,617,1,
274,SJB,11826,1,12,617,1,
275,SJB,10455,1,12,617,1,
276,LB,1508,1,67,651,1,
277,SJB,11830,1,12,617,1,
278,SJB,11713,1,12,617,1,
279,SJB,11831,1,12,617,1,
280,SJB,12848,1,52,617,1,
281,SJB,14334,1,13,617,1,
282,SJB,14284,1,13,617,1,
283,SJB,14282,1,13,617,1,
284,SJB,14283,1,13,617,1,
285,SJB,14331,1,13,617,1,
286,SJB,14825,1,60,617,1,
287,SJB,14835,1,60,617,1,
288,SJB,14837,1,60,617,1,
289,SJB,14824,1,60,617,1,
290,SJB,14828,1,60,617,1,
291,SJB,14826,1,60,617,1,
292,AB,4108,0,12,659,1,
293,AB,6588,0,33,659,1,
294,AB,6583,0,33,659,1,
295,AB,6582,1,33,659,1,
296,SJB,10387,0,12,617,1,
297,SJB,15265,0,69,639,1,
298,SJB,15264,1,69,639,1,
299,SJB,15266,0,69,639,1,
300,SJB,15267,0,69,639,1,
301,SJB,15245,0,69,639,1,
302,SJB,15325,1,69,639,1,
303,SJB,15326,2,69,639,1,
304,LB,2004,2,33,651,1,
305,SJB,10771,2,22,648,1,
306,PB,1181,2,7,648,1,
